Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Gender,Name,City,State Code,State_x,Zip Code,Country_x,Continent,Birthday,Product Name,Brand,Color,Unit Cost USD,Unit Price USD,SubcategoryKey,Subcategory,CategoryKey,Category,Square Meters
367005,3,1/2/2016,20160110,758280,0,1674,8,EUR,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,7/29/1993,MGS Hand Games for students E400 Red,Tailspin Toys,Red,$3.56 ,$6.99 ,701,Boxed Games,7,Games and Toys,0
367005,4,1/2/2016,20160110,758280,0,2511,9,EUR,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,7/29/1993,Contoso Original K1m Li-Ion Standard Battery E170 Silver,Contoso,Silver,$2.07 ,$4.06 ,505,Cell phones Accessories,5,Cell phones,0
367005,5,1/2/2016,20160110,758280,0,1720,2,EUR,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,7/29/1993,MGS Zoo Tycoon 2: African Adventure M280,Tailspin Toys,Black,$32.25 ,$70.13 ,702,Download Games,7,Games and Toys,0
367005,6,1/2/2016,20160110,758280,0,1597,7,EUR,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,7/29/1993,SV DVD External DVD Burner M200 Black,Southridge Video,Black,$26.62 ,$57.88 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
367005,7,1/2/2016,20160110,758280,0,784,1,EUR,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,7/29/1993,Contoso Laptop Starter Bundle M200 White,Contoso,White,$7.59 ,$16.50 ,308,Computers Accessories,3,Computers,0
367028,1,1/2/2016,20160111,607356,0,976,1,EUR,Female,Fanette Michaud,AURILLAC,AU,Auvergne,15000,France,Europe,7/6/1989,A. Datum All in One Digital Camera M200 Pink,A. Datum,Pink,$86.45 ,$188.00 ,401,Digital Cameras,4,Cameras and camcorders,0
367028,2,1/2/2016,20160111,607356,0,2017,3,EUR,Female,Fanette Michaud,AURILLAC,AU,Auvergne,15000,France,Europe,7/6/1989,Fabrikam Microwave 0.9CuFt E0900 Blue,Fabrikam,Blue,$50.98 ,$99.99 ,803,Microwaves,8,Home Appliances,0
367031,1,1/2/2016,20160107,909014,0,120,3,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,"Adventure Works 13"" Color TV E25 Black",Adventure Works,Black,$61.17 ,$119.99 ,201,Televisions,2,TV and Video,0
367031,2,1/2/2016,20160107,909014,0,382,2,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,Adventure Works Laptop12 M1201 Red,Adventure Works,Red,$195.24 ,$382.95 ,301,Laptops,3,Computers,0
367031,3,1/2/2016,20160107,909014,0,1722,3,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,MGS Zoo Tycoon 2: End range Species Expansion Pack E105,Tailspin Toys,Silver,$28.55 ,$56.00 ,702,Download Games,7,Games and Toys,0
367031,4,1/2/2016,20160107,909014,0,132,1,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,"Adventure Works 20"" Analog CRT TV E45 Brown",Adventure Works,Brown,$101.97 ,$200.00 ,201,Televisions,2,TV and Video,0
369011,1,1/4/2016,20160109,1664824,0,1261,2,USD,Female,Barbara Hawkins,West Allis,WI,Wisconsin,53227,United States,North America,6/24/1954,Contoso Multi-Use Terminal Cable E308 White,Contoso,White,$18.86 ,$36.99 ,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,0
369012,1,1/4/2016,20160113,1696695,0,1423,3,USD,Male,Virgil Rowland,Akron,OH,Ohio,44311,United States,North America,10/7/2001,The Phone Company Touch Screen Phones - CRT M11 Black,The Phone Company,Black,$86.91 ,$189.00 ,503,Touch Screen Phones,5,Cell phones,0
369012,2,1/4/2016,20160113,1696695,0,1656,1,USD,Male,Virgil Rowland,Akron,OH,Ohio,44311,United States,North America,10/7/2001,Contoso DVD 9-Inch Player Portable M300 White,Contoso,White,$73.57 ,$159.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
369012,3,1/4/2016,20160113,1696695,0,1660,2,USD,Male,Virgil Rowland,Akron,OH,Ohio,44311,United States,North America,10/7/2001,Contoso DVD 15-Inch Player Portable L200 White,Contoso,White,$96.08 ,$289.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
369012,4,1/4/2016,20160113,1696695,0,1610,6,USD,Male,Virgil Rowland,Akron,OH,Ohio,44311,United States,North America,10/7/2001,SV DVD 15-Inch Player Portable L200 Silver,Southridge Video,Silver,$96.08 ,$289.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
371004,1,1/6/2016,20160114,1378439,0,1305,8,USD,Female,Maria Reid,Jackson,MS,Mississippi,39213,United States,North America,7/27/1992,Contoso Lens Adapter M450 Silver,Contoso,Silver,$31.27 ,$68.00 ,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,0
371006,1,1/6/2016,20160115,1501383,0,1279,1,USD,Male,William Romriell,Dallas,TX,Texas,75240,United States,North America,10/11/1995,Contoso General Soft Carrying Case E318 Black,Contoso,Black,$7.64 ,$14.99 ,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,0
371007,1,1/6/2016,20160118,1378439,0,1639,1,USD,Female,Maria Reid,Jackson,MS,Mississippi,39213,United States,North America,7/27/1992,Contoso DVD 38 DVD Storage Binder E25 Red,Contoso,Red,$5.09 ,$9.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
371011,1,1/6/2016,20160114,776266,0,458,5,EUR,Male,Giorgio Ferrari,Gorgona Isola,LI,Livorno,57030,Italy,Europe,11/4/1973,WWI Desktop PC1.80 E1800 White,Wide World Importers,White,$117.21 ,$229.90 ,303,Desktops,3,Computers,0
371011,2,1/6/2016,20160114,776266,0,1573,3,EUR,Male,Giorgio Ferrari,Gorgona Isola,LI,Livorno,57030,Italy,Europe,11/4/1973,SV DVD Player M120 White,Southridge Video,White,$27.13 ,$58.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
371011,3,1/6/2016,20160114,776266,0,32,5,EUR,Male,Giorgio Ferrari,Gorgona Isola,LI,Livorno,57030,Italy,Europe,11/4/1973,Contoso 32GB Video MP3 Player M3200 Pink,Contoso,Pink,$84.49 ,$255.00 ,101,MP4&MP3,1,Audio,0
371015,1,1/6/2016,20160114,1669745,0,1679,5,USD,Male,James Anderson,Tallahassee,FL,Florida,32303,United States,North America,9/9/1961,MGS Hand Games for kids E300 Silver,Tailspin Toys,Silver,$2.80 ,$5.50 ,701,Boxed Games,7,Games and Toys,0
371015,2,1/6/2016,20160114,1669745,0,1659,1,USD,Male,James Anderson,Tallahassee,FL,Florida,32303,United States,North America,9/9/1961,Contoso DVD 14-Inch Player Portable L100 White,Contoso,White,$86.14 ,$259.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
371015,3,1/6/2016,20160114,1669745,0,1228,1,USD,Male,James Anderson,Tallahassee,FL,Florida,32303,United States,North America,9/9/1961,"Fabrikam Independent Filmmaker 1"" 25mm X400 Blue",Fabrikam,Blue,$536.74 ,"$1,620.00 ",405,Camcorders,4,Cameras and camcorders,0
371015,4,1/6/2016,20160114,1669745,0,1458,4,USD,Male,James Anderson,Tallahassee,FL,Florida,32303,United States,North America,9/9/1961,The Phone Company Touch Screen Phones - LCD M12 Gold,The Phone Company,Gold,$91.97 ,$200.00 ,503,Touch Screen Phones,5,Cell phones,0
372000,1,1/7/2016,20160122,1413890,0,148,3,USD,Female,Jena Zimmerman,Aloha,OR,Oregon,97007,United States,North America,1/14/1999,"Adventure Works 52"" LCD HDTV X590 Brown",Adventure Works,Brown,$960.82 ,"$2,899.99 ",201,Televisions,2,TV and Video,0
372000,2,1/7/2016,20160122,1413890,0,1620,1,USD,Female,Jena Zimmerman,Aloha,OR,Oregon,97007,United States,North America,1/14/1999,Contoso DVD Player M140 Gold,Contoso,Gold,$28.05 ,$60.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
372000,3,1/7/2016,20160122,1413890,0,825,3,USD,Female,Jena Zimmerman,Aloha,OR,Oregon,97007,United States,North America,1/14/1999,Contoso Reserve Pen - Tablet Pen E200 Grey,Contoso,Grey,$7.09 ,$13.90 ,308,Computers Accessories,3,Computers,0
372006,1,1/7/2016,20160115,2095742,0,125,2,USD,Female,Michelle Krüger,Gooding,ID,Idaho,83330,United States,North America,8/3/1942,"Adventure Works 19"" Color Digital TV E35 Silver",Adventure Works,Silver,$73.11 ,$143.40 ,201,Televisions,2,TV and Video,0
373000,1,1/8/2016,20160114,1367439,0,2509,3,USD,Female,Tammy Overall,Escondido,CA,California,92025,United States,North America,5/27/1999,Contoso Original K1m Li-Ion Standard Battery E170 Black,Contoso,Black,$2.07 ,$4.06 ,505,Cell phones Accessories,5,Cell phones,0
373000,2,1/8/2016,20160114,1367439,0,716,3,USD,Female,Tammy Overall,Escondido,CA,California,92025,United States,North America,5/27/1999,Proseware High Speed Laser M2000 White,Proseware,White,$69.25 ,$209.00 ,306,"Printers, Scanners & Fax",3,Computers,0
373007,1,1/8/2016,20160114,351747,0,103,2,CAD,Female,Irene Lee,Toronto,ON,Ontario,M4W 1J7,Canada,North America,11/5/1986,WWI Wireless Bluetooth Stereo Headphones M270 Black,Wide World Importers,Black,$52.88 ,$115.00 ,106,Bluetooth Headphones,1,Audio,0
373007,2,1/8/2016,20160114,351747,0,1455,5,CAD,Female,Irene Lee,Toronto,ON,Ontario,M4W 1J7,Canada,North America,11/5/1986,The Phone Company Pen Touch Screen Phones M320 Gold,The Phone Company,Gold,$133.36 ,$290.00 ,503,Touch Screen Phones,5,Cell phones,0
373007,3,1/8/2016,20160114,351747,0,1902,2,CAD,Female,Irene Lee,Toronto,ON,Ontario,M4W 1J7,Canada,North America,11/5/1986,Fabrikam Refrigerator 1.7CuFt E1200 White,Fabrikam,White,$66.27 ,$129.99 ,802,Refrigerators,8,Home Appliances,0
373009,1,1/8/2016,20160119,1064519,0,1589,4,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,SV DVD 38 DVD Storage Binder E25 Silver,Southridge Video,Silver,$5.09 ,$9.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
374012,1,1/9/2016,20160120,1758208,0,1280,1,USD,Male,Christopher Lopp,Plymouth,IN,Indiana,46563,United States,North America,5/12/1995,Contoso General Soft Carrying Case E318 Silver,Contoso,Silver,$7.64 ,$14.99 ,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,0
374012,2,1/9/2016,20160120,1758208,0,1276,1,USD,Male,Christopher Lopp,Plymouth,IN,Indiana,46563,United States,North America,5/12/1995,Contoso Digital Cameras Lightweight Tripod E316 Pink,Contoso,Pink,$26.58 ,$52.13 ,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,0
374012,3,1/9/2016,20160120,1758208,0,2454,5,USD,Male,Christopher Lopp,Plymouth,IN,Indiana,46563,United States,North America,5/12/1995,Litware Desktop Wind Tower Oscillating Fan E1201 White,Litware,White,$15.29 ,$29.99 ,808,Fans,8,Home Appliances,0
374012,4,1/9/2016,20160120,1758208,0,2108,1,USD,Male,Christopher Lopp,Plymouth,IN,Indiana,46563,United States,North America,5/12/1995,Contoso Water Heater 2.6GPM E0900 Grey,Contoso,Grey,$258.99 ,$508.00 ,804,Water Heaters,8,Home Appliances,0
375000,1,1/10/2016,20160118,1084570,0,1636,1,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,Contoso DVD 55DVD Storage Binder M56 Silver,Contoso,Silver,$5.82 ,$12.66 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
375000,2,1/10/2016,20160118,1084570,0,88,7,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Northwind Traders,Black,$49.69 ,$149.99 ,106,Bluetooth Headphones,1,Audio,0
375000,3,1/10/2016,20160118,1084570,0,2515,1,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,Contoso In-Line Coupler E180 White,Contoso,White,$1.71 ,$3.35 ,505,Cell phones Accessories,5,Cell phones,0
377006,1,1/12/2016,20160120,934781,0,1432,1,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,The Phone Company Touch Screen Phones Infrared M901 Grey,The Phone Company,Grey,$137.96 ,$300.00 ,503,Touch Screen Phones,5,Cell phones,0
377006,2,1/12/2016,20160120,934781,0,1580,1,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,SV DVD Recorder L230 Grey,Southridge Video,Grey,$72.56 ,$219.00 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
377006,3,1/12/2016,20160120,934781,0,1462,1,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,Contoso Touch Screen Phones 4-Wire/ Built-in M205 Black,Contoso,Black,$123.24 ,$268.00 ,503,Touch Screen Phones,5,Cell phones,0
377006,4,1/12/2016,20160120,934781,0,1936,1,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,Fabrikam Refrigerator 4.6CuFt E2800 Orange,Fabrikam,Orange,$152.94 ,$299.99 ,802,Refrigerators,8,Home Appliances,0
377006,5,1/12/2016,20160120,934781,0,1007,1,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,A. Datum Consumer Digital Camera E100 Orange,A. Datum,Orange,$143.26 ,$281.00 ,401,Digital Cameras,4,Cameras and camcorders,0
377006,6,1/12/2016,20160120,934781,0,320,1,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,SV Car Video LCD7W M7082 Silver,Southridge Video,Silver,$321.44 ,$699.00 ,205,Car Video,2,TV and Video,0
379002,1,1/14/2016,20160124,716015,0,106,2,EUR,Male,Tarquinio Giordano,Borgo Sant'Antonio Abate,CE,Caserta,81040,Italy,Europe,6/21/1985,WWI Stereo Bluetooth Headphones New Generation M370 Black,Wide World Importers,Black,$61.16 ,$132.99 ,106,Bluetooth Headphones,1,Audio,0
379002,2,1/14/2016,20160124,716015,0,386,2,EUR,Male,Tarquinio Giordano,Borgo Sant'Antonio Abate,CE,Caserta,81040,Italy,Europe,6/21/1985,Adventure Works Laptop19W X1980 Blue,Adventure Works,Blue,$430.38 ,"$1,299.00 ",301,Laptops,3,Computers,0
379002,3,1/14/2016,20160124,716015,0,1654,3,EUR,Male,Tarquinio Giordano,Borgo Sant'Antonio Abate,CE,Caserta,81040,Italy,Europe,6/21/1985,Contoso DVD 14-Inch Player Portable L100 Silver,Contoso,Silver,$86.14 ,$259.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
379004,1,1/14/2016,20160127,245912,0,321,2,CAD,Female,Evelyn Lavender,Calgary,AB,Alberta,T2P 0W4,Canada,North America,11/29/1959,SV Car Video LCD7 M7001 Silver,Southridge Video,Silver,$151.30 ,$329.00 ,205,Car Video,2,TV and Video,0
381002,1,1/16/2016,20160126,2042097,0,1283,1,USD,Male,Tom Kohler,Arlington,TX,Texas,76011,United States,North America,12/19/1986,Contoso Mini Battery Charger Kit E320 White,Contoso,White,$12.74 ,$24.99 ,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,0
381002,2,1/16/2016,20160126,2042097,0,1345,1,USD,Male,Tom Kohler,Arlington,TX,Texas,76011,United States,North America,12/19/1986,Contoso 4-Line Expandable Cordless Phone System M900 Black,Contoso,Black,$10.12 ,$22.00 ,501,Home & Office Phones,5,Cell phones,0
381002,3,1/16/2016,20160126,2042097,0,2510,2,USD,Male,Tom Kohler,Arlington,TX,Texas,76011,United States,North America,12/19/1986,Contoso Original K1m Li-Ion Standard Battery E170 White,Contoso,White,$2.07 ,$4.06 ,505,Cell phones Accessories,5,Cell phones,0
381012,1,1/16/2016,20160123,2072376,0,1759,2,USD,Female,Claire Kaeppel,Rapid City,SD,South Dakota,57702,United States,North America,5/17/2000,MGS MechWarrior 4: Vengeance X800,Tailspin Toys,Purple,$34.75 ,$104.89 ,702,Download Games,7,Games and Toys,0
381012,2,1/16/2016,20160123,2072376,0,1684,7,USD,Female,Claire Kaeppel,Rapid City,SD,South Dakota,57702,United States,North America,5/17/2000,MGS Hand Games for Office worker L299 Silver,Tailspin Toys,Silver,$5.60 ,$16.89 ,701,Boxed Games,7,Games and Toys,0
381013,1,1/16/2016,20160121,1984685,0,1583,1,USD,Female,Ashley Ruvalcaba,Tampa,FL,Florida,33614,United States,North America,11/28/1944,SV DVD 58 DVD Storage Binder M55 Black,Southridge Video,Black,$6.39 ,$13.89 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
381013,2,1/16/2016,20160121,1984685,0,584,8,USD,Female,Ashley Ruvalcaba,Tampa,FL,Florida,33614,United States,North America,11/28/1944,Contoso Screen 100in E010 Black,Contoso,Black,$62.95 ,$190.00 ,305,Projectors & Screens,3,Computers,0
384004,1,1/19/2016,20160128,1316297,0,1150,2,USD,Male,Timothy Santillo,Milwaukee,WI,Wisconsin,53202,United States,North America,7/24/1978,Fabrikam Budget Movie-Maker 1/3'' 8.5mm E200 Black,Fabrikam,Black,$209.54 ,$411.00 ,405,Camcorders,4,Cameras and camcorders,0
384004,2,1/19/2016,20160128,1316297,0,1578,6,USD,Male,Timothy Santillo,Milwaukee,WI,Wisconsin,53202,United States,North America,7/24/1978,SV DVD Recorder L210 Silver,Southridge Video,Silver,$72.56 ,$219.00 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
385000,1,1/20/2016,20160125,1110691,0,1586,8,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,SV DVD 55DVD Storage Binder M56 Black,Southridge Video,Black,$5.82 ,$12.66 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
385000,2,1/20/2016,20160125,1110691,0,1427,5,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,"The Phone Company Touch Screen Phones 26-2.2"" M200 Grey",The Phone Company,Grey,$105.77 ,$230.00 ,503,Touch Screen Phones,5,Cell phones,0
385000,3,1/20/2016,20160125,1110691,0,166,3,GBP,Female,Kerman Desaulniers,Toronto,CA,California,90017,United States,North America,11/11/1943,SV 16xDVD M300 Black,Southridge Video,Black,$54.72 ,$119.00 ,202,VCD & DVD,2,TV and Video,0
386001,1,1/21/2016,20160130,1912666,0,1996,2,USD,Female,Jana Klusová,Washington,MD,Maryland,20008,United States,North America,4/13/1975,Fabrikam Microwave 2.2CuFt M1250 Grey,Fabrikam,Grey,$91.97 ,$199.99 ,803,Microwaves,8,Home Appliances,0
386001,2,1/21/2016,20160130,1912666,0,1577,1,USD,Female,Jana Klusová,Washington,MD,Maryland,20008,United States,North America,4/13/1975,SV DVD Recorder L200 Black,Southridge Video,Black,$72.56 ,$219.00 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
386005,1,1/21/2016,20160202,345812,0,1600,1,CAD,Male,Grant Barker,Vancouver,BC,British Columbia,V5T 1Z7,Canada,North America,4/11/1982,SV DVD External DVD Burner M200 Silver,Southridge Video,Silver,$26.62 ,$57.88 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
386005,2,1/21/2016,20160202,345812,0,237,1,CAD,Male,Grant Barker,Vancouver,BC,British Columbia,V5T 1Z7,Canada,North America,4/11/1982,Litware Home Theater System 5.1 Channel M514 Brown,Litware,Brown,$275.46 ,$599.00 ,203,Home Theater System,2,TV and Video,0
386011,1,1/21/2016,20160128,541598,0,54,6,EUR,Female,Julia Faber,Kranzberg,BY,Freistaat Bayern,85400,Germany,Europe,6/2/1973,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,$98.07 ,$296.00 ,104,Recording Pen,1,Audio,0
386011,2,1/21/2016,20160128,541598,0,101,2,EUR,Female,Julia Faber,Kranzberg,BY,Freistaat Bayern,85400,Germany,Europe,6/2/1973,WWI Wireless Bluetooth Stereo Headphones M170 Pink,Wide World Importers,Pink,$55.18 ,$120.00 ,106,Bluetooth Headphones,1,Audio,0
386011,3,1/21/2016,20160128,541598,0,461,3,EUR,Female,Julia Faber,Kranzberg,BY,Freistaat Bayern,85400,Germany,Europe,6/2/1973,Proseware LCD24 X300 Black,Proseware,Black,$271.35 ,$819.00 ,304,Monitors,3,Computers,0
387000,1,1/22/2016,20160126,224434,0,1729,2,CAD,Female,Ora Cousins,Lacorne,QC,Quebec,J0Y 1R0,Canada,North America,11/2/1968,MGS Rise of Nations: Thrones and Patriots M320,Tailspin Toys,Blue,$35.72 ,$77.68 ,702,Download Games,7,Games and Toys,0
387000,2,1/22/2016,20160126,224434,0,1599,3,CAD,Female,Ora Cousins,Lacorne,QC,Quebec,J0Y 1R0,Canada,North America,11/2/1968,SV DVD External DVD Burner M200 Blue,Southridge Video,Blue,$26.62 ,$57.88 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
387000,3,1/22/2016,20160126,224434,0,1622,1,CAD,Female,Ora Cousins,Lacorne,QC,Quebec,J0Y 1R0,Canada,North America,11/2/1968,Contoso DVD Recorder L200 Black,Contoso,Black,$72.56 ,$219.00 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
387000,4,1/22/2016,20160126,224434,0,55,6,CAD,Female,Ora Cousins,Lacorne,QC,Quebec,J0Y 1R0,Canada,North America,11/2/1968,WWI 4GB Video Recording Pen X200 Pink,Wide World Importers,Pink,$98.07 ,$296.00 ,104,Recording Pen,1,Audio,0
388001,1,1/23/2016,20160127,1730210,0,1616,1,USD,Male,Ralph Wilson,Clewiston,FL,Florida,33440,United States,North America,4/30/1989,Contoso DVD Player M100 Black,Contoso,Black,$26.21 ,$56.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
388004,1,1/23/2016,20160131,776431,0,2104,1,EUR,Male,Lionello Padovano,Casavecchia,MC,Macerata,62036,Italy,Europe,2/24/2000,Contoso Water Heater 1.5GPM E0800 Silver,Contoso,Silver,$131.28 ,$257.50 ,804,Water Heaters,8,Home Appliances,0
388004,2,1/23/2016,20160131,776431,0,618,3,EUR,Male,Lionello Padovano,Casavecchia,MC,Macerata,62036,Italy,Europe,2/24/2000,WWI Screen 113in M1610 Black,Wide World Importers,Black,$99.06 ,$299.00 ,305,Projectors & Screens,3,Computers,0
388013,1,1/23/2016,20160130,1559552,0,1657,1,USD,Female,Dora Fauntleroy,Elmsford,NY,New York,10523,United States,North America,3/21/1938,Contoso DVD 12-Inch Player Portable M400 White,Contoso,White,$82.77 ,$179.99 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
390002,1,1/25/2016,20160206,2029518,0,537,3,USD,Male,Jan Berg,Los Angeles,CA,California,90017,United States,North America,4/4/1939,WWI LCD17W E200 White,Wide World Importers,White,$65.77 ,$129.00 ,304,Monitors,3,Computers,0
390002,2,1/25/2016,20160206,2029518,0,1636,2,USD,Male,Jan Berg,Los Angeles,CA,California,90017,United States,North America,4/4/1939,Contoso DVD 55DVD Storage Binder M56 Silver,Contoso,Silver,$5.82 ,$12.66 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
390002,3,1/25/2016,20160206,2029518,0,1581,1,USD,Male,Jan Berg,Los Angeles,CA,California,90017,United States,North America,4/4/1939,SV DVD Recorder L240 Gold,Southridge Video,Gold,$72.56 ,$219.00 ,602,Movie DVD,6,"Music, Movies and Audio Books",0
390002,4,1/25/2016,20160206,2029518,0,1792,2,USD,Male,Jan Berg,Los Angeles,CA,California,90017,United States,North America,4/4/1939,MGS Age of Mythology: The Titans Expansion 2009 E148,Tailspin Toys,Pink,$21.92 ,$43.00 ,702,Download Games,7,Games and Toys,0
390002,5,1/25/2016,20160206,2029518,0,458,1,USD,Male,Jan Berg,Los Angeles,CA,California,90017,United States,North America,4/4/1939,WWI Desktop PC1.80 E1800 White,Wide World Importers,White,$117.21 ,$229.90 ,303,Desktops,3,Computers,0
391001,1,1/26/2016,20160202,361945,0,1841,1,CAD,Male,Charles Hutchison,Calgary,AB,Alberta,T2P 0W4,Canada,North America,2/26/1991,Litware Washer & Dryer 15.5in E150 Blue,Litware,Blue,$509.32 ,$999.00 ,801,Washers & Dryers,8,Home Appliances,0
392003,1,1/27/2016,20160204,1471397,0,156,8,USD,Female,Elizabeth Peete,La Plata,MO,Missouri,63549,United States,North America,6/11/1941,"Adventure Works 26"" 720p LCD HDTV M140 Brown",Adventure Works,Brown,$216.12 ,$469.97 ,201,Televisions,2,TV and Video,0
